"recommendation1","recommendation2","recommendation3","challenger"
"Aberfeldy 12 Year","Speyside","Tamdhu","Scapa","Auchentoshan"
"Abelour 10 Year","Balvenie","Deanston","Benromach","Bruichladdich"
"AnCnoc 12 Year","Cardhu","Tamdhu","Tobermory","Longmorn"
"Ardbeg 10 Year","Talisker","Clynelish","Oban","Springbank"
"Ardmore 12 Year","Benrinnes","Fettercairn","Benromach","Bruichladdich"
"Isle of Arran 10 Year","Glenlivet","Linkwood","GlenElgin","GlenGarioch"
"Auchentoshan 10 Year","Glengoyne","GlenMoray","Cardhu","Aberfeldy"
"Auchriosk 10 Year","Glenrothes","Macallan","Glenfarclas","Mortlach"
"Aultmore 12 Year","Speyside","Scapa","Miltonduff","GlenMoray"
"Balblair 10 Year","Strathmill","Craigganmore","GlenKeith","Tullibardine"
"Balmenach 12 Year","Tormore","Mortlach","Glendronach","GlenDeveronMacduff"
"Balvenie 10 Year","Aberlour","Speyburn","Deanston","Bruichladdich"
"Ben Nevis 10 Year","Benromach","Dalwhinnie","Benrinnes","Bruichladdich"
"Benriach 12 Year","Glenkinchie","Glenlossie","RoyalBrackla","GlenSpey"
"Benrinnes 15 Year","Deanston","Dalwhinnie","BenNevis","Bruichladdich"
"Benromach 5  Year","BenNevis","Dalwhinnie","Craigellechie","Bruichladdich"
"Bladnoch 16 Year","Bunnahabhain","Glenfiddich","Glenkinchie","Tomintoul"
"Blair Athol 12 Year","Dailuaine","Glenfarclas","Dalmore","GlenDeveronMacduff"
"Bowmore 12 Year","Highland Park","Tomatin","Benromach","Deanston"
"Bruichladdich 10 Year","Benromach","Inchgower","Fettercairn","Glenturret"
"Bunnahabhain 12 Year","Bladnoch","Glenallachie","Glenlossie","GlenGarioch"
"Caol Ila 12 Year","Ardbeg","Clynelish","Isle of Jura","GlenScotia"
"Cardhu 12 Year","Aultmore","AnCnoc","Edradour","Mannochmore"
"Clynelish 14 Year","Ardbeg","Talisker","Caol Ila","Springbank"
"Crraigellachie 14 Year","Benromach","BenNevis","Speyburn","Bruichladdich"
"Cragganmore 12 Year","Balblair","Tamnavulin","Strathmill","Tullibardine"
"Dailuaine 16 Year","RoyalLochnagar","Dalmore","BlairAthol","GlenDeveronMacduff"
"Dalmore 12 Year","RoyalLochnagar","Dailuaine","Glenrothes","Tormore"
"Dalwhinnie 15 Year","Benrinnes","Speyburn","Benromach","Bruichladdich"
"Deanston 12 Yer","Benrinnes","Aberlour","Dalwhinnie","Bruichladdich"
"Dufftown 15 Year","Glenfiddich","Glenallachie","Bunnahabhain","GlenGarioch"
"Edradour 10 Year","Scapa","GlenGrant","Speyside","Tobermory"
"Glen Deveron 10 Year","Ardmore","Tomatin","Benromach","Balvenie"
"Glen Elgin 12 Year","Glenlossie","Glenfiddich","Glenkinchie","GlenGarioch"
"Glen Garioch 12 Year","Glenrothes","Glenfarclas","Tormore","RoyalLochnagar"
"Glen Grant 10 Year","Macallan","Glenrothes","RoyalLochnagar","GlenDeveronMacduff"
"Glen Keith 10 Year","Macallan","RoyalLochnagar","Auchroisk","GlenDeveronMacduff"
"Glen Moray 12 Year","Glenlivet","Linkwood","Glenallachie","GlenGarioch"
"Glen Ord 12 Year","Glenrothes","Auchroisk","BlairAthol","Balmenach"
"Glen Scotia 14 Years","Dufftown","Glenallachie","Bladnoch","GlenGarioch"
"Glen Spey 12 Years","RoyalBrackla","GlenOrd","Glenkinchie","Dufftown"
"Glenallachie 12 Year","Auchentoshan","Strathisla","GlenGrant","Miltonduff"
"Glendroanch 12 Years","Edradour","Glengoyne","Speyside","Tobermory"
"Glendullan 12 Year","Knockando","Strathmill","Balblair","Teaninich"
"Glenfarclas 10 Year","Glenlossie","Benriach","Glenallachie","GlenSpey"
"Glenfiddich 12 Year","GlenElgin","Linkwood","Bladnoch","GlenGarioch"
"Glengoyne 10 Year ","Glenkinchie","Glenallachie","Benriach","ArranIsleOf"
"Glenkinchie 10 Year","Strathmill","Knockando","GlenKeith","Tullibardine"
"Glenlivet 12 Year","Auchentoshan","Cardhu","Glengoyne","Aberfeldy"
"Glenlossie 10 Year","Benriach","Glenlossie","Glenlivet","Tomintoul"
"Glenmorange 10 Year","Auchroisk","Macallan","Glenfarclas","Mortlach"
"Glenrothes 12 Year","Isle of Jura","Laphroig","Oban","Caol Ila"
"Glenturret 10 Year","Bladnoch","Glenlivet","Glenallachie","Benriach"
"Highland Park 12 Year","Tomatin","Speyburn","Inchgower","Bruichladdich"
"Inchgower 14 Year","Tomatin","Bowmore","Dalwhinnie","Bruichladdich"
